Robot_Position X	Robot_Position Y	weight
Robot_Position X	Robot_Position Y	weight
720	400	0.000000
Robot_Position X	Robot_Position Y	weight
715	403	0.169316
Robot_Position X	Robot_Position Y	weight
713	413	0.176143
Robot_Position X	Robot_Position Y	weight
714	405	0.171464
Robot_Position X	Robot_Position Y	weight
714	405	0.184184
Robot_Position X	Robot_Position Y	weight
714	412	0.191669
Robot_Position X	Robot_Position Y	weight
711	413	0.182320
Robot_Position X	Robot_Position Y	weight
713	413	0.197493
Robot_Position X	Robot_Position Y	weight
711	413	0.177072
Robot_Position X	Robot_Position Y	weight
713	412	0.172065
Robot_Position X	Robot_Position Y	weight
711	412	0.174560
Robot_Position X	Robot_Position Y	weight
713	409	0.178499
Robot_Position X	Robot_Position Y	weight
714	414	0.084754
Robot_Position X	Robot_Position Y	weight
712	404	0.172756
Robot_Position X	Robot_Position Y	weight
711	407	0.160472
Robot_Position X	Robot_Position Y	weight
706	410	0.165317
Robot_Position X	Robot_Position Y	weight
704	415	0.162689
Robot_Position X	Robot_Position Y	weight
704	410	0.171586
Robot_Position X	Robot_Position Y	weight
707	420	0.175151
Robot_Position X	Robot_Position Y	weight
712	413	0.165600
Robot_Position X	Robot_Position Y	weight
708	413	0.153746
Robot_Position X	Robot_Position Y	weight
705	420	0.174548
Robot_Position X	Robot_Position Y	weight
705	423	0.162335
Robot_Position X	Robot_Position Y	weight
704	414	0.158902
Robot_Position X	Robot_Position Y	weight
705	415	0.156568
Robot_Position X	Robot_Position Y	weight
706	407	0.162108
Robot_Position X	Robot_Position Y	weight
706	410	0.135282
Robot_Position X	Robot_Position Y	weight
708	402	0.158811
Robot_Position X	Robot_Position Y	weight
703	400	0.156503
Robot_Position X	Robot_Position Y	weight
710	394	0.163990
Robot_Position X	Robot_Position Y	weight
709	396	0.140806
Robot_Position X	Robot_Position Y	weight
709	392	0.149784
Robot_Position X	Robot_Position Y	weight
708	394	0.147630
Robot_Position X	Robot_Position Y	weight
712	395	0.156530
Robot_Position X	Robot_Position Y	weight
709	396	0.135648
Robot_Position X	Robot_Position Y	weight
709	384	0.139945
Robot_Position X	Robot_Position Y	weight
709	379	0.142973
Robot_Position X	Robot_Position Y	weight
709	381	0.132008
Robot_Position X	Robot_Position Y	weight
710	381	0.155945
Robot_Position X	Robot_Position Y	weight
707	371	0.129010
Robot_Position X	Robot_Position Y	weight
704	365	0.148185
Robot_Position X	Robot_Position Y	weight
709	364	0.140249
Robot_Position X	Robot_Position Y	weight
710	363	0.159917
Robot_Position X	Robot_Position Y	weight
709	367	0.155730
Robot_Position X	Robot_Position Y	weight
711	355	0.152863
Robot_Position X	Robot_Position Y	weight
712	356	0.138977
Robot_Position X	Robot_Position Y	weight
711	352	0.157134
Robot_Position X	Robot_Position Y	weight
711	345	0.138299
Robot_Position X	Robot_Position Y	weight
711	343	0.168848
Robot_Position X	Robot_Position Y	weight
710	344	0.147029
Robot_Position X	Robot_Position Y	weight
710	346	0.143135
Robot_Position X	Robot_Position Y	weight
710	353	0.147412
Robot_Position X	Robot_Position Y	weight
710	352	0.148080
Robot_Position X	Robot_Position Y	weight
709	353	0.133508
Robot_Position X	Robot_Position Y	weight
710	364	0.157588
Robot_Position X	Robot_Position Y	weight
709	366	0.160492
Robot_Position X	Robot_Position Y	weight
709	364	0.138693
Robot_Position X	Robot_Position Y	weight
710	364	0.160545
Robot_Position X	Robot_Position Y	weight
708	363	0.149419
Robot_Position X	Robot_Position Y	weight
708	371	0.154017
Robot_Position X	Robot_Position Y	weight
706	373	0.149390
Robot_Position X	Robot_Position Y	weight
706	378	0.137249
Robot_Position X	Robot_Position Y	weight
712	378	0.157433
Robot_Position X	Robot_Position Y	weight
709	380	0.144387
Robot_Position X	Robot_Position Y	weight
710	384	0.154527
Robot_Position X	Robot_Position Y	weight
712	387	0.156560
Robot_Position X	Robot_Position Y	weight
708	398	0.164326
Robot_Position X	Robot_Position Y	weight
704	400	0.164148
Robot_Position X	Robot_Position Y	weight
708	405	0.154348
Robot_Position X	Robot_Position Y	weight
710	407	0.161524
Robot_Position X	Robot_Position Y	weight
710	409	0.175710
Robot_Position X	Robot_Position Y	weight
707	413	0.157615
Robot_Position X	Robot_Position Y	weight
704	405	0.165209
Robot_Position X	Robot_Position Y	weight
705	408	0.163336
Robot_Position X	Robot_Position Y	weight
710	400	0.176736
Robot_Position X	Robot_Position Y	weight
713	397	0.162506
Robot_Position X	Robot_Position Y	weight
710	399	0.149732
Robot_Position X	Robot_Position Y	weight
710	399	0.156728
Robot_Position X	Robot_Position Y	weight
714	399	0.148666
Robot_Position X	Robot_Position Y	weight
710	403	0.169060
Robot_Position X	Robot_Position Y	weight
705	404	0.162170
Robot_Position X	Robot_Position Y	weight
706	404	0.173729
Robot_Position X	Robot_Position Y	weight
709	406	0.178489
Robot_Position X	Robot_Position Y	weight
708	407	0.182781
Robot_Position X	Robot_Position Y	weight
710	410	0.178886
Robot_Position X	Robot_Position Y	weight
714	415	0.189575
Robot_Position X	Robot_Position Y	weight
715	410	0.196283
Robot_Position X	Robot_Position Y	weight
712	414	0.182929
Robot_Position X	Robot_Position Y	weight
710	415	0.081464
Robot_Position X	Robot_Position Y	weight
709	416	0.074140
Robot_Position X	Robot_Position Y	weight
718	418	0.094579
Robot_Position X	Robot_Position Y	weight
719	422	0.084105
Robot_Position X	Robot_Position Y	weight
727	431	0.169105
Robot_Position X	Robot_Position Y	weight
717	425	0.087679
Robot_Position X	Robot_Position Y	weight
727	429	0.097698
Robot_Position X	Robot_Position Y	weight
726	426	0.209600
Robot_Position X	Robot_Position Y	weight
722	428	0.186945
Robot_Position X	Robot_Position Y	weight
722	433	0.176003
Robot_Position X	Robot_Position Y	weight
715	431	0.180771
Robot_Position X	Robot_Position Y	weight
713	434	0.089923
Robot_Position X	Robot_Position Y	weight
724	432	0.085953
Robot_Position X	Robot_Position Y	weight
726	439	0.100827
Robot_Position X	Robot_Position Y	weight
731	438	0.094840
Robot_Position X	Robot_Position Y	weight
729	444	0.076222
Robot_Position X	Robot_Position Y	weight
737	445	0.185490
Robot_Position X	Robot_Position Y	weight
728	451	0.200678
Robot_Position X	Robot_Position Y	weight
725	456	0.199550
Robot_Position X	Robot_Position Y	weight
726	450	0.214376
Robot_Position X	Robot_Position Y	weight
722	454	0.212519
Robot_Position X	Robot_Position Y	weight
724	454	0.220997
Robot_Position X	Robot_Position Y	weight
725	457	0.209674
Robot_Position X	Robot_Position Y	weight
722	452	0.203714
Robot_Position X	Robot_Position Y	weight
723	454	0.088700
Robot_Position X	Robot_Position Y	weight
718	458	0.201280
Robot_Position X	Robot_Position Y	weight
722	453	0.089047
Robot_Position X	Robot_Position Y	weight
719	447	0.187976
Robot_Position X	Robot_Position Y	weight
714	456	0.187054
Robot_Position X	Robot_Position Y	weight
716	450	0.193081
Robot_Position X	Robot_Position Y	weight
711	448	0.170197
Robot_Position X	Robot_Position Y	weight
714	444	0.178168
Robot_Position X	Robot_Position Y	weight
712	442	0.176881
Robot_Position X	Robot_Position Y	weight
712	449	0.165558
Robot_Position X	Robot_Position Y	weight
711	437	0.182965
Robot_Position X	Robot_Position Y	weight
708	434	0.156116
Robot_Position X	Robot_Position Y	weight
708	443	0.165250
Robot_Position X	Robot_Position Y	weight
711	440	0.175425
Robot_Position X	Robot_Position Y	weight
712	440	0.143335
Robot_Position X	Robot_Position Y	weight
708	438	0.070114
Robot_Position X	Robot_Position Y	weight
708	431	0.164773
Robot_Position X	Robot_Position Y	weight
708	427	0.178982
Robot_Position X	Robot_Position Y	weight
708	425	0.176298
Robot_Position X	Robot_Position Y	weight
709	432	0.193046
Robot_Position X	Robot_Position Y	weight
708	424	0.180610
Robot_Position X	Robot_Position Y	weight
707	422	0.198042
Robot_Position X	Robot_Position Y	weight
709	419	0.184865
Robot_Position X	Robot_Position Y	weight
707	422	0.192228
Robot_Position X	Robot_Position Y	weight
708	422	0.180831
Robot_Position X	Robot_Position Y	weight
712	423	0.189917
Robot_Position X	Robot_Position Y	weight
708	422	0.192953
Robot_Position X	Robot_Position Y	weight
707	422	0.179679
Robot_Position X	Robot_Position Y	weight
707	422	0.175851
Robot_Position X	Robot_Position Y	weight
707	422	0.103697
Robot_Position X	Robot_Position Y	weight
715	420	0.091051
Robot_Position X	Robot_Position Y	weight
714	421	0.168389
Robot_Position X	Robot_Position Y	weight
708	421	0.076720
Robot_Position X	Robot_Position Y	weight
712	426	0.180319
