Robot_Position X	Robot_Position Y	weight
714	408	0.077008
Robot_Position X	Robot_Position Y	weight
716	406	0.000000
Robot_Position X	Robot_Position Y	weight
712	413	0.186301
Robot_Position X	Robot_Position Y	weight
722	413	0.040952
Robot_Position X	Robot_Position Y	weight
734	402	0.121737
Robot_Position X	Robot_Position Y	weight
736	402	0.138855
Robot_Position X	Robot_Position Y	weight
736	402	0.160899
Robot_Position X	Robot_Position Y	weight
738	408	0.128454
Robot_Position X	Robot_Position Y	weight
738	414	0.109931
Robot_Position X	Robot_Position Y	weight
735	404	0.174456
Robot_Position X	Robot_Position Y	weight
738	406	0.145744
Robot_Position X	Robot_Position Y	weight
732	408	0.164921
Robot_Position X	Robot_Position Y	weight
733	407	0.155774
Robot_Position X	Robot_Position Y	weight
728	403	0.155851
Robot_Position X	Robot_Position Y	weight
734	398	0.148523
Robot_Position X	Robot_Position Y	weight
731	394	0.157790
Robot_Position X	Robot_Position Y	weight
734	390	0.153848
Robot_Position X	Robot_Position Y	weight
739	391	0.162548
Robot_Position X	Robot_Position Y	weight
740	392	0.160600
Robot_Position X	Robot_Position Y	weight
742	395	0.124620
Robot_Position X	Robot_Position Y	weight
733	390	0.138871
Robot_Position X	Robot_Position Y	weight
741	391	0.132359
Robot_Position X	Robot_Position Y	weight
732	388	0.119242
Robot_Position X	Robot_Position Y	weight
746	392	0.156599
Robot_Position X	Robot_Position Y	weight
732	381	0.126174
Robot_Position X	Robot_Position Y	weight
726	386	0.133864
Robot_Position X	Robot_Position Y	weight
726	380	0.145079
Robot_Position X	Robot_Position Y	weight
730	391	0.152315
Robot_Position X	Robot_Position Y	weight
733	393	0.130194
Robot_Position X	Robot_Position Y	weight
735	386	0.142378
Robot_Position X	Robot_Position Y	weight
733	380	0.147396
Robot_Position X	Robot_Position Y	weight
735	374	0.125107
Robot_Position X	Robot_Position Y	weight
728	378	0.135604
Robot_Position X	Robot_Position Y	weight
726	383	0.139628
Robot_Position X	Robot_Position Y	weight
727	366	0.156630
Robot_Position X	Robot_Position Y	weight
733	369	0.149951
Robot_Position X	Robot_Position Y	weight
726	371	0.131792
Robot_Position X	Robot_Position Y	weight
732	372	0.157365
Robot_Position X	Robot_Position Y	weight
728	381	0.155610
Robot_Position X	Robot_Position Y	weight
738	387	0.161446
Robot_Position X	Robot_Position Y	weight
734	393	0.087218
Robot_Position X	Robot_Position Y	weight
738	397	0.143891
Robot_Position X	Robot_Position Y	weight
739	390	0.169989
Robot_Position X	Robot_Position Y	weight
734	393	0.155116
Robot_Position X	Robot_Position Y	weight
738	396	0.159823
Robot_Position X	Robot_Position Y	weight
732	397	0.152442
Robot_Position X	Robot_Position Y	weight
730	398	0.145619
Robot_Position X	Robot_Position Y	weight
731	401	0.161023
Robot_Position X	Robot_Position Y	weight
719	403	0.147211
Robot_Position X	Robot_Position Y	weight
717	401	0.166027
Robot_Position X	Robot_Position Y	weight
712	406	0.146894
Robot_Position X	Robot_Position Y	weight
715	405	0.136136
Robot_Position X	Robot_Position Y	weight
716	407	0.180045
Robot_Position X	Robot_Position Y	weight
717	403	0.154873
Robot_Position X	Robot_Position Y	weight
711	412	0.079142
Robot_Position X	Robot_Position Y	weight
711	417	0.077835
Robot_Position X	Robot_Position Y	weight
717	417	0.085799
Robot_Position X	Robot_Position Y	weight
722	421	0.158481
Robot_Position X	Robot_Position Y	weight
716	427	0.190886
Robot_Position X	Robot_Position Y	weight
717	430	0.181637
Robot_Position X	Robot_Position Y	weight
717	432	0.176618
Robot_Position X	Robot_Position Y	weight
717	433	0.190264
Robot_Position X	Robot_Position Y	weight
716	436	0.192251
Robot_Position X	Robot_Position Y	weight
720	442	0.210730
Robot_Position X	Robot_Position Y	weight
722	444	0.091099
Robot_Position X	Robot_Position Y	weight
725	445	0.204729
Robot_Position X	Robot_Position Y	weight
726	451	0.238659
Robot_Position X	Robot_Position Y	weight
725	456	0.247066
Robot_Position X	Robot_Position Y	weight
722	453	0.201552
Robot_Position X	Robot_Position Y	weight
723	459	0.187072
Robot_Position X	Robot_Position Y	weight
720	457	0.076258
Robot_Position X	Robot_Position Y	weight
731	448	0.175214
Robot_Position X	Robot_Position Y	weight
717	453	0.187273
Robot_Position X	Robot_Position Y	weight
714	452	0.171512
Robot_Position X	Robot_Position Y	weight
712	447	0.188293
Robot_Position X	Robot_Position Y	weight
712	450	0.190588
Robot_Position X	Robot_Position Y	weight
711	452	0.094987
Robot_Position X	Robot_Position Y	weight
714	444	0.073292
Robot_Position X	Robot_Position Y	weight
719	440	0.084670
Robot_Position X	Robot_Position Y	weight
723	436	0.078975
Robot_Position X	Robot_Position Y	weight
726	436	0.142201
Robot_Position X	Robot_Position Y	weight
726	428	0.099099
Robot_Position X	Robot_Position Y	weight
727	430	0.127268
