Robot_Position X	Robot_Position Y	weight
652	238	0.000000
654	245	0.231047
659	252	0.231576
659	249	0.245130
657	249	0.228836
654	257	0.222236
653	259	0.239115
648	267	0.265310
645	265	0.234156
650	268	0.225702
650	266	0.213031
652	270	0.221097
655	272	0.054703
664	273	0.065171
660	271	0.064450
662	267	0.225635
666	267	0.063464
666	274	0.080208
672	273	0.245624
675	278	0.254702
675	277	0.238103
675	273	0.249422
673	277	0.235798
667	268	0.239200
664	263	0.230984
665	259	0.231005
663	264	0.061310
673	257	0.064897
672	256	0.220889
667	253	0.211625
664	261	0.230329
661	259	0.241607
656	254	0.212616
654	244	0.223700
649	245	0.220455
643	250	0.212500
641	250	0.200014
659	255	0.201825
657	252	0.210363
656	250	0.043898
658	258	0.191574
664	271	0.198365
667	276	0.198274
660	281	0.201058
656	281	0.196203
656	284	0.204546
656	289	0.045797
657	296	0.056388
662	290	0.046337
679	285	0.055227
683	289	0.059667
692	289	0.071168
694	280	0.066499
693	275	0.182258
688	276	0.206660
684	275	0.212259
682	276	0.218269
677	274	0.208938
673	266	0.222619
667	271	0.217899
668	274	0.213544
667	271	0.226148
664	271	0.213426
661	270	0.220480
658	267	0.224393
659	267	0.223699
658	267	0.241710
658	264	0.063381
