Robot_Position X	Robot_Position Y	weight
648	244	0.000000
656	248	0.228256
658	256	-0.005810
664	256	0.195118
660	254	0.202655
658	257	0.221357
664	259	0.185492
663	259	0.061987
666	260	0.056700
671	267	0.228771
672	268	0.242999
672	268	0.239073
673	271	0.076754
675	261	0.054841
681	266	0.051411
675	267	0.144698
668	277	0.200594
664	270	0.199513
659	278	0.222483
662	269	0.214593
654	273	0.210315
651	269	0.039425
663	271	0.058144
657	274	0.198396
665	283	0.188582
661	288	0.188136
654	285	0.205968
652	290	0.209883
650	289	0.193090
657	294	0.205182
658	297	0.043837
660	297	0.050998
659	290	0.212120
655	290	0.203369
651	287	0.213863
652	283	0.199774
659	280	0.220596
663	281	0.216175
659	280	0.200747
