loopTimes	callBackTimer(ms)
1	1.959324
2	0.777721
3	0.586748
4	0.880718
5	0.723362
6	0.678062
7	0.670910
8	0.661135
9	0.735283
10	0.683546
11	1.632452
12	0.712156
13	0.579357
14	0.687599
15	0.671864
16	0.632763
17	0.662327
18	0.709295
19	0.660658
20	0.610113
21	0.703096
22	0.737906
23	0.669956
24	0.808716
25	0.608206
26	0.735283
27	0.760794
28	0.636578
29	0.755310
30	0.837803
31	0.641108
32	0.665426
33	0.617743
34	0.737429
35	0.632286
36	0.981808
37	0.650883
38	0.696421
39	0.690460
40	0.611067
41	0.675678
42	0.581264
43	0.617743
44	0.651360
45	0.723362
46	0.719547
47	0.732660
48	0.662804
49	0.787973
50	0.650644
51	0.942945
52	0.834703
53	0.639915
54	0.725269
55	0.663042
56	0.684261
57	0.660658
58	0.673532
59	0.675201
60	0.650406
61	0.709534
62	0.680923
63	0.985384
64	0.568390
65	0.709772
66	0.696182
67	0.630617
68	0.630379
69	0.621557
70	0.702620
71	0.608444
72	0.597715
73	0.639439
74	0.693560
75	0.597477
76	0.583172
77	0.700235
78	0.638485
79	0.815392
80	0.745773
81	0.702858
82	0.609398
83	0.770330
84	0.663042
85	0.731230
86	1.400232
87	0.755310
88	0.630140
89	0.787973
90	0.797987
91	0.593424
92	0.794888
93	0.693560
94	0.781298
95	1.064062
96	0.657082
97	0.637770
98	0.601768
99	0.708580
100	0.696421
101	0.805140
102	0.753641
103	33.777952
104	0.789881
105	0.601768
106	0.751495
107	0.788689
108	0.638485
109	0.828266
110	0.683069
111	0.994444
112	0.746965
113	0.635624
114	0.691414
115	33.675194
116	0.831366
117	0.725985
118	0.707626
119	0.644684
120	0.599146
121	0.613213
122	0.688553
123	0.766277
124	0.643730
125	0.690460
126	0.626802
127	0.659227
128	0.628471
129	0.689030
130	0.678062
131	0.676632
132	0.821590
133	0.674248
134	0.939846
135	0.744581
136	0.613689
137	0.658989
138	0.603437
139	0.822067
140	0.772238
141	0.660419
142	0.698805
143	0.710011
144	0.906229
145	0.651360
146	0.688553
147	0.756264
148	0.634432
149	0.803471
150	0.725508
151	0.602007
152	0.840664
153	0.621557
154	0.786543
155	0.658274
156	0.615835
157	0.696659
158	0.705481
159	0.648499
160	0.571489
161	0.734329
162	0.741482
163	0.586748
164	0.814676
165	33.752680
166	0.819683
167	0.745296
168	0.607491
169	0.786066
170	0.682354
171	0.945091
172	0.742912
173	0.672579
174	0.665426
175	0.670195
176	0.754833
177	34.126759
178	0.745535
179	0.774622
180	0.736952
181	0.668764
182	0.800848
183	0.693083
184	0.713587
185	0.736475
186	0.638485
187	0.727892
188	0.675917
189	0.658274
190	0.747442
191	0.631809
192	0.613213
193	0.619411
194	0.602007
195	0.679731
196	0.603914
197	0.706434
198	0.585556
199	0.670671
200	0.945807
201	0.825405
202	0.756741
203	0.870705
204	0.849962
205	0.687361
206	0.607252
207	0.757694
208	0.972509
209	0.669718
210	0.700235
211	0.638962
212	0.707865
213	1.147985
214	0.613689
215	0.701189
216	0.614166
217	34.139633
218	0.785828
219	0.647545
220	0.755072
221	0.600576
222	0.733137
223	0.653267
224	0.634670
225	0.646591
226	0.594139
227	0.777721
228	0.767946
229	0.626802
230	0.869274
231	0.614166
232	0.680923
233	0.720024
234	0.641108
235	0.651598
236	0.670671
237	0.749826
238	0.624418
239	0.736952
240	0.808954
241	0.629663
242	0.657320
243	0.672817
244	0.649929
245	0.707865
246	0.602722
247	0.740528
248	0.667095
249	0.749826
250	0.651121
251	0.686646
252	0.684738
253	0.718117
254	0.664473
255	0.637531
256	0.649214
257	0.809669
258	0.639200
259	0.679731
260	0.681639
261	0.672102
262	0.774145
263	0.624657
264	0.774860
265	0.689745
266	0.621796
267	0.869751
268	0.719309
269	0.748158
270	0.639915
271	0.638962
272	0.802279
273	0.626564
274	0.633001
275	0.610590
276	0.596523
277	0.771284
278	0.744343
279	0.677109
280	0.706911
281	0.675917
282	0.704288
283	0.625849
284	0.820160
285	0.682354
286	0.691652
287	0.603914
288	0.627279
289	0.644922
290	0.729799
291	0.744343
292	0.766993
293	0.657082
294	0.693321
295	0.799417
296	0.938177
297	0.739813
298	0.680685
299	0.657797
300	0.610113
301	0.801325
302	0.738859
303	0.659227
304	0.731945
305	0.615597
306	0.815153
307	0.753641
308	0.676394
309	0.752926
310	0.647306
311	0.619411
312	0.745773
313	0.641108
314	0.576496
315	0.597477
316	0.651121
317	0.631332
318	0.601053
319	0.603199
320	0.757694
321	0.640392
322	0.630617
323	0.678301
324	0.744581
325	0.692844
326	0.598192
327	0.710011
328	0.628948
329	0.773191
330	0.676394
331	0.818253
332	0.739098
333	0.646114
334	0.661135
335	0.710249
336	0.658274
337	0.657082
338	1.445770
339	0.583887
340	0.642776
341	0.825167
342	0.751257
343	0.604868
344	0.720501
345	0.579596
346	0.812292
347	0.668049
348	0.669956
349	0.736475
350	0.742197
351	0.907183
352	0.576019
353	0.720739
354	0.655651
355	0.685692
356	0.882626
357	0.712633
358	0.640631
359	0.721455
360	0.536680
361	0.835180
362	0.817776
363	34.012794
364	0.709772
365	0.660896
366	0.738144
367	0.651360
368	0.701427
369	0.783682
370	0.608921
371	0.644207
372	0.631809
373	0.782967
374	0.716925
375	0.579357
376	0.650167
377	0.589132
378	0.811577
379	0.705004
380	0.770569
381	0.769377
382	0.880241
383	0.615120
384	0.694513
385	0.728846
386	0.600338
387	0.731468
388	0.652790
389	0.646591
390	0.587702
391	0.604391
392	0.647545
393	0.801325
394	0.743151
395	0.724077
396	0.734568
397	0.604630
398	0.873327
399	0.706673
400	0.634193
401	0.665665
402	0.606060
403	0.706196
404	0.941515
405	0.850916
406	0.736952
407	0.709534
408	0.791550
409	0.579119
410	33.983469
411	0.754833
412	0.697851
413	0.576258
414	0.650167
415	0.623941
416	0.631332
417	0.694752
418	0.566959
419	0.670195
420	0.719786
421	0.738859
422	0.673294
423	0.861883
424	0.641346
425	0.980854
426	0.675917
427	0.663757
428	0.768661
429	0.542879
430	0.753403
431	0.705719
432	0.675201
433	0.699759
434	0.620127
435	0.848293
436	0.633955
437	0.620365
438	0.727654
439	0.656605
440	0.732183
441	0.701189
442	0.647545
443	0.694513
444	0.773191
445	0.649929
446	34.385204
447	0.642300
448	0.661850
449	0.572443
450	0.653505
451	0.659227
452	0.585079
453	0.684023
454	0.762463
455	0.694752
456	0.623703
457	0.761032
458	0.589132
459	0.814438
460	0.623226
461	0.594139
462	0.721455
463	0.681877
464	0.551701
465	0.765324
466	0.624657
467	0.662327
468	0.657797
469	0.661612
470	0.603914
471	0.896931
472	0.782490
473	0.769377
474	0.727177
475	0.589132
476	0.782251
477	0.704765
478	0.599146
479	0.701904
480	0.690937
481	0.634193
482	0.710011
483	0.660658
484	0.684261
485	0.578880
486	0.625610
487	0.658751
488	0.689268
489	0.709534
490	0.629902
491	0.638485
492	0.700474
493	0.664473
494	0.679016
495	33.776999
496	0.811815
497	0.665426
498	0.711441
499	0.763178
500	0.587702
501	0.724077
502	34.160852
503	0.738859
504	0.635624
505	0.643969
506	0.848770
507	0.661373
508	0.709772
509	0.889540
510	0.616550
511	0.648499
512	0.826120
513	0.595331
514	0.887394
515	0.728369
516	33.952713
517	0.825882
518	0.683069
519	0.674248
520	0.830889
521	0.670671
522	0.756025
523	33.651352
524	0.660419
525	0.661850
526	0.836611
527	0.653028
528	0.860214
529	0.666380
530	0.590324
531	0.826836
532	0.725508
533	0.682116
534	0.789881
535	0.586748
536	0.654459
537	0.703335
538	0.664711
539	0.638247
540	33.838034
541	0.683069
542	0.619888
543	0.782251
544	0.805616
545	0.679016
546	0.688791
547	0.734091
548	0.612020
549	0.724554
550	0.679255
551	0.688553
552	0.745773
553	0.652552
554	0.805616
555	0.628233
556	0.807285
557	33.832788
558	0.695467
559	0.600100
560	0.681400
561	0.629663
562	0.564814
563	0.739336
564	0.793219
565	0.576019
566	0.549793
567	0.639439
568	0.671387
569	0.706911
570	0.722647
571	0.639915
572	0.686407
573	0.638485
574	0.521421
575	0.618458
576	0.635862
577	0.651598
578	0.664949
579	0.648499
580	0.599861
581	0.608444
582	0.655651
583	0.866890
584	0.731707
585	0.649452
586	0.702858
587	0.591278
588	0.638962
589	0.835419
590	0.581980
591	0.753880
592	0.548124
593	0.631571
594	0.606775
595	0.566959
596	0.631809
597	0.701904
598	34.068823
599	0.632524
600	0.650167
601	0.791073
602	0.591516
603	0.726700
604	0.649452
605	0.852346
606	0.691414
607	0.569344
608	0.797510
609	0.680208
610	34.114361
611	0.711441
612	0.860691
613	0.615120
614	0.752449
615	0.565290
616	0.787735
617	0.931740
618	0.742435
619	0.661612
620	0.672579
621	0.568151
622	0.729561
623	0.721455
624	0.711203
625	0.639677
626	0.714540
627	0.867844
628	0.821352
629	0.804424
630	0.668526
631	0.571489
632	0.641823
633	0.805616
634	1.085281
635	0.656843
636	0.591278
637	0.672102
638	0.683546
639	0.676155
640	0.632048
641	0.752926
642	0.593662
643	0.643969
644	0.648022
645	0.688553
646	0.693560
647	0.663280
648	0.735283
649	0.644207
650	0.732183
651	0.589609
652	0.629187
653	34.244537
654	0.581741
655	0.628233
656	0.687122
657	0.812292
658	0.606060
659	0.677586
660	0.782013
661	0.709772
662	0.588894
663	0.750542
664	0.592470
665	0.693798
666	0.678062
667	0.851631
668	0.758886
669	0.672340
670	0.748396
671	0.687122
672	0.662804
673	0.702858
674	0.583410
675	0.645638
676	0.705242
677	0.637531
678	1.364708
679	0.703096
680	0.633478
681	0.621796
682	0.601292
683	0.733137
684	1.166821
685	0.640154
686	33.842087
687	0.529289
688	0.635386
689	0.704765
690	0.667095
691	1.473904
692	0.919104
693	0.640392
694	0.616550
695	0.608206
696	0.678062
697	0.650883
698	0.759363
699	0.672102
700	34.138203
701	0.819445
702	0.727415
703	0.741243
704	0.612020
705	0.620127
706	0.784636
707	0.682831
708	0.703096
709	0.637054
710	0.614405
711	0.636578
712	0.633240
713	0.603676
714	33.717871
715	0.622749
716	0.842333
717	0.642776
718	0.627995
719	0.729322
720	0.651121
721	0.750542
722	0.674725
723	0.703096
724	0.689268
725	0.596523
726	0.758171
727	0.673532
728	0.671625
729	0.629902
730	0.679970
731	0.777721
732	0.580549
733	0.564337
734	0.699520
735	0.750780
736	0.729561
737	0.733376
738	34.089327
739	0.671148
740	0.642061
741	0.667334
742	0.819683
743	0.672579
744	0.705957
745	0.704765
746	0.692129
747	1.065731
748	0.739336
749	0.630617
750	0.654459
751	0.610113
752	0.668049
753	0.790358
754	34.068584
755	0.776291
756	0.772476
757	0.652790
758	0.719309
759	0.782490
760	0.639200
761	0.626326
762	0.724316
763	0.649691
764	0.726700
765	0.663280
766	0.869274
767	0.859261
768	0.597477
769	0.749350
770	0.582933
771	0.617743
772	0.690937
773	0.692368
774	0.676155
775	34.047842
776	0.678539
777	0.660896
778	0.645161
779	0.585079
780	0.594616
781	0.824928
782	0.658274
783	0.686646
784	0.674486
785	0.551701
786	0.742912
787	0.603914
788	0.709295
789	0.681162
790	0.639677
791	0.663757
792	1.245737
793	0.785351
794	0.677824
795	0.705004
796	0.649214
797	34.590483
798	0.676155
799	0.758410
800	0.656605
801	0.710249
802	0.655413
803	0.635862
804	0.675917
805	0.718594
806	0.697613
807	0.937939
808	0.756741
809	33.958435
810	0.772476
811	0.601768
812	0.941515
813	0.736713
814	0.762701
815	0.701666
816	0.701427
817	0.688553
818	0.753880
819	0.675917
820	0.717640
821	0.657558
822	0.629425
823	33.911467
824	0.959396
825	0.770330
826	0.672579
827	0.751972
828	0.673294
829	0.728846
830	34.373999
831	0.742435
832	0.622749
833	0.615120
834	0.631094
835	0.611067
836	0.641584
837	0.665903
838	0.748396
839	0.846386
840	34.289122
841	0.771523
842	0.622988
843	0.691414
844	0.675440
845	0.659704
846	1.588106
847	34.191370
848	0.680208
849	0.615358
850	0.628948
851	0.929832
852	0.787973
853	0.697613
854	0.638962
855	0.631332
856	0.718355
857	1.079082
858	0.682116
859	0.741482
860	0.796080
861	0.722170
862	0.740767
863	0.667572
864	0.714779
865	0.625134
866	0.847578
867	0.972033
868	0.652075
869	0.607491
870	0.868320
871	0.703335
872	0.987053
873	0.649214
874	0.643730
875	0.696421
876	1.484632
877	0.646591
878	0.814199
879	0.621080
880	0.804186
881	0.773191
882	0.773430
883	0.742435
884	0.884295
885	0.762224
886	0.845671
887	0.725269
888	0.777483
889	0.938654
890	0.762701
891	0.687122
892	0.767708
893	0.707388
894	0.585556
895	0.585318
896	0.665188
897	0.714540
898	0.669241
899	0.680923
900	0.625849
901	0.612736
902	0.643730
903	0.654459
904	0.659227
905	0.706196
906	0.689507
907	0.570297
908	0.679731
909	33.869505
910	0.723124
911	0.708103
912	0.617504
913	0.740051
914	0.659943
915	1.243591
916	0.899315
917	0.672817
918	1.056910
919	0.730038
920	0.965357
921	1.127958
922	0.686407
923	0.776768
924	33.647299
925	1.035213
926	0.798225
927	0.625610
928	1.025915
929	0.673771
930	1.100540
931	34.336090
932	0.682354
933	0.804663
934	0.608683
935	0.740528
936	33.702374
937	0.652552
938	34.024000
939	0.654221
940	0.748158
941	0.813484
942	0.683784
943	0.962973
944	0.632048
945	0.867844
946	0.777245
947	0.727415
948	0.753403
949	0.691891
950	0.852585
951	0.876188
952	1.522303
953	0.592470
954	0.600815
955	0.732660
956	34.129858
957	0.566721
958	1.057148
959	0.591993
960	0.633955
961	0.642538
962	33.740520
963	0.713110
964	0.655174
965	0.627518
966	0.690699
967	33.710241
968	0.808001
969	0.628233
970	0.589848
971	0.698566
972	0.612974
973	0.661612
974	0.728846
975	0.693798
976	0.821829
977	0.609636
978	0.747204
979	0.758171
980	0.999212
981	0.678778
982	0.676394
983	0.645876
984	0.761271
985	0.639677
986	0.667810
987	0.663280
988	0.726223
989	0.690222
990	0.791788
991	33.919811
992	0.619411
993	0.711441
994	0.823259
995	0.678778
996	0.683546
997	0.575304
998	0.672579
999	0.635386
1000	0.998974
