Robot_Position X	Robot_Position Y	weight
622	510	0.000000
630	517	0.111396
626	518	0.434088
626	518	0.434088
626	518	0.434088
626	518	0.434088
612	502	0.509066
600	501	0.490398
602	505	0.447096
609	526	0.445198
609	526	0.445198
609	526	0.445198
609	526	0.445198
609	526	0.445198
616	491	0.604215
616	491	0.604215
616	491	0.604215
625	516	0.429646
641	522	0.562793
654	506	0.608296
656	507	0.157904
657	507	0.565721
657	498	0.632075
657	498	0.632075
657	498	0.632075
657	498	0.632075
658	510	0.606256
657	507	0.602374
657	491	0.662068
650	490	0.593199
653	506	0.601696
655	485	0.519031
655	450	0.704295
654	447	0.546609
654	447	0.546609
669	484	0.531564
669	484	0.531564
668	480	0.568469
679	480	0.477995
679	480	0.477995
679	480	0.477995
686	473	0.602566
686	479	0.639211
688	476	0.641601
690	477	0.594768
687	478	0.609679
692	479	0.609679
680	472	0.573338
680	472	0.573338
682	475	0.573338
668	481	0.534246
668	481	0.534246
680	486	0.527083
680	473	0.631813
680	482	0.537755
684	479	0.544839
699	463	0.540247
699	463	0.540247
699	463	0.540247
699	463	0.540247
700	462	0.546952
706	459	0.470134
707	457	0.402803
710	456	0.485662
715	462	0.338143
718	456	0.426176
717	453	0.350041
716	451	0.347774
717	453	0.302281
735	452	0.271332
740	456	0.177517
751	453	0.293144
738	459	0.277822
750	448	0.254128
745	445	0.295892
747	438	0.247298
750	446	0.181505
765	448	0.146006
756	446	0.325891
756	446	0.325891
763	443	0.314638
764	451	0.260342
772	446	0.260342
771	438	0.456087
771	439	0.383843
771	436	0.390927
771	436	0.390927
781	442	0.290636
781	442	0.290636
781	442	0.290636
781	442	0.290636
781	434	0.417305
790	434	0.404506
794	438	0.509858
798	433	0.390319
793	436	0.354582
801	431	0.268840
808	424	0.309550
802	431	0.270803
808	427	0.347286
807	426	0.203855
807	423	0.286103
811	427	0.352776
812	426	0.370315
807	427	0.333442
811	429	0.355395
817	426	0.373010
813	425	0.377355
813	428	0.406863
818	429	0.385345
829	410	0.320407
818	428	0.361919
815	430	0.328363
846	399	0.304460
859	410	0.195449
874	361	0.212035
875	350	0.206052
868	355	0.326434
872	366	0.349758
872	353	0.386428
872	355	0.356157
872	348	0.355844
872	355	0.352225
869	357	0.311140
869	357	0.332234
871	353	0.315799
869	357	0.295914
869	357	0.322884
869	359	0.320862
869	357	0.320268
869	361	0.359622
873	358	0.275139
871	358	0.243968
872	356	0.156242
871	356	0.084957
866	359	0.137935
863	348	0.049147
859	352	-0.029486
858	364	0.081458
856	360	0.458869
856	360	0.458869
850	366	0.244729
846	356	0.336643
843	369	0.181304
838	366	0.234705
833	367	0.290553
833	367	0.290553
833	367	0.290553
833	367	0.290553
833	367	0.290553
833	367	0.290553
833	367	0.290553
833	367	0.290553
829	368	0.549536
824	370	0.657002
824	370	0.657002
824	370	0.657002
824	370	0.657002
824	370	0.657002
824	370	0.657002
818	373	0.632951
814	370	0.315792
811	361	0.350188
807	348	0.345719
803	351	0.275725
797	349	0.384910
797	349	0.384910
793	351	0.468007
793	351	0.468007
793	351	0.468007
793	351	0.468007
793	351	0.468007
790	354	0.468574
790	354	0.468574
790	354	0.468574
790	354	0.468574
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
789	352	0.434349
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	352	0.556665
787	348	0.473634
787	348	0.473634
787	348	0.473634
786	347	0.462820
786	347	0.462820
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006
786	349	0.170006

