
Robot_Position X	Robot_Position Y	weight
703	403	0.065568
693	406	0.132283
691	406	0.077578
696	406	-0.008431
698	408	0.084127
699	407	0.102459
697	407	0.101623
694	407	0.033902
694	409	0.144005
694	407	0.035828
701	406	-0.032844
701	413	0.071690
705	410	0.079202
702	409	0.085607
701	407	-0.275392
702	403	0.121601
700	404	-2.937612
702	403	-0.775324
702	403	-0.133994
702	403	-1.857076
702	403	-2.242297
702	403	-2.266966
702	403	-2.063935
705	405	-1.919915
698	405	-0.591713
698	405	-4.089431
698	405	-4.097830
698	405	-0.362166
698	405	-0.360432
698	405	-2.243012
698	405	-2.243790
698	405	-0.747781
698	405	-0.744081
698	405	-1.276119
698	405	-1.258102
698	405	-1.253444
698	405	-3.853233
Robot_Position X	Robot_Position Y	weight
703	411	0.065400
694	408	0.130380
694	409	0.131308
694	409	-0.128584
696	409	-1.572318
692	411	-1.623537
692	411	-1.601846
692	411	-1.599821
692	411	-3.376965
692	411	-3.383434
692	411	-1.560044
692	411	-1.559846
693	412	-1.197716
692	411	-1.598619
692	411	-3.312026
692	411	-3.315383
692	411	-1.843930
692	411	-1.844802
692	411	-2.335449
692	411	-2.337764
692	411	-2.237480
692	411	-2.237640
692	411	-2.947792
692	411	-2.948349
692	411	-4.485538
692	411	-4.487268
692	411	-0.644337
692	411	-0.810538
692	411	-2.535380
692	411	-2.536041
692	411	-1.372922
692	411	-1.372734
692	411	-1.372563
692	411	-2.027081
692	411	-1.024892
692	411	-1.024718
692	411	-1.024554
692	411	-2.418639
692	411	-2.418533
692	411	-1.801695
692	411	-1.801517
690	409	0.195557
688	414	0.209833
687	416	-1.618641
688	407	-1.342782
688	407	-1.977895
688	407	-0.931055
688	407	-0.931090
688	407	-4.754915
688	407	-4.755523
688	407	-1.257724
688	407	-1.257733
688	407	-1.864817
685	410	-1.796951
691	411	-0.682605
691	411	-0.892613
691	411	-3.473258
691	411	-3.473522
691	411	-0.985488
691	411	-0.985350
691	411	-2.318451
691	411	-2.318575
691	411	-0.149910
691	411	-0.136018
691	411	-1.765858
691	411	-1.765829
690	410	-2.188312
691	411	-2.819123
691	411	0.156542
691	411	0.156547
691	411	-1.482215
691	411	-1.479457
691	411	-0.530798
691	411	-0.530757
691	411	0.091176
691	411	0.091186
691	411	0.091196
691	411	-2.106029
691	411	-2.106075
691	411	-0.836341
691	411	-0.836312
691	411	-3.933161
694	410	-3.697671
690	413	-0.692541
690	413	-0.040297
690	413	-0.040284
690	413	-0.040272
690	413	0.020687
690	413	0.020704
690	413	-2.423873
690	413	-2.423964
690	413	-2.118116
690	413	-2.114430
690	413	-2.111730
Robot_Position X	Robot_Position Y	weight
705	406	0.067650
695	409	0.169651
685	410	-0.025695
692	403	0.135218
694	405	-2.557220
694	405	-2.578260
Robot_Position X	Robot_Position Y	weight
700	398	0.000000
691	405	0.199777
688	408	-0.038744
692	397	0.008200
691	399	-0.013360
691	399	0.200120
691	397	-0.109061
691	400	0.091943
694	400	0.124897
694	400	0.190097
691	402	0.190117
691	400	0.052043
691	400	0.050720
689	399	-0.044433
689	399	-0.128887
689	399	-0.129048
689	399	0.034757
689	399	0.034525
692	400	0.104004
692	400	0.107130
690	401	0.110853
690	401	-0.057882
689	399	0.189478
689	399	0.175029
689	399	0.193704
689	399	0.193704
689	399	0.188819
688	398	0.189524
688	398	0.201360
688	398	0.201360
686	397	0.207970
686	397	0.106725
686	397	0.106725
686	397	0.198441
686	397	0.209978
686	397	0.209978
686	397	0.194745
686	397	0.194745
684	399	0.095696
684	399	0.190818
683	399	0.191119
682	399	-0.061086
682	399	-0.061086
682	399	0.196159
682	399	0.196159
682	399	0.066160
682	399	0.066160
682	399	0.158505
682	399	0.158505
682	399	0.177159
680	401	0.182012
680	401	0.183550
682	399	0.183059
680	401	0.200163
680	401	0.200163
680	401	-0.051936
680	401	0.191397
680	401	0.191397
680	401	0.188828
680	401	0.188828
680	401	0.110173
680	401	0.111834
680	401	0.111834
680	400	0.200827
680	400	0.200827
680	399	0.089107
680	400	0.190653
680	399	0.194264
680	400	0.194264
680	400	0.196905
680	400	0.196905
680	400	0.205418
680	400	0.205418
680	400	0.147462
680	400	0.189033
680	400	0.189033
680	401	0.189033
680	403	0.189033
680	405	-0.027745
680	405	0.168542
680	405	0.168542
680	405	0.186753
680	405	0.201267
680	405	0.201267
678	407	0.083391
676	402	0.098735
675	400	0.196804
675	401	0.191846
680	405	0.196421
680	405	0.215061
680	405	0.197099
680	405	0.197099
680	405	0.056062
680	405	0.056062
680	405	0.145161
680	405	0.181260
682	407	0.182664
680	405	nan
680	405	nan
680	406	nan
680	405	nan
680	406	nan
680	408	0.205124
680	408	0.106800
680	408	0.106800
680	408	0.106800
680	408	0.203836
680	408	0.203836
681	407	0.195535
680	408	0.044402
680	405	0.044402
680	407	0.044402
680	408	0.106124
680	408	0.098542
680	408	0.098542
680	408	0.025506
680	408	0.195064
680	408	0.195064
680	408	0.138264
677	408	0.153937
677	408	0.180829
676	409	0.202649
680	405	0.181172
680	406	0.181172
680	408	0.181172
680	408	0.181172
680	408	0.181172
680	409	0.185683
680	409	0.196172
680	409	0.053766
680	409	0.053766
680	409	0.198169
680	409	0.186348
680	409	0.186348
680	409	0.193815
680	409	0.197465
680	409	0.197465
680	409	0.194345
680	409	0.194345
680	409	0.207075
680	409	0.207075
680	409	0.188890
680	409	0.188890
680	409	0.065247
680	409	0.065247
680	409	0.191843
680	409	0.196765
680	409	0.196765
680	409	0.183043
680	409	0.183043
