Robot_Position X	Robot_Position Y	weight
720	534	0.000000
722	539	0.165391
728	526	0.162695
728	549	0.187522
728	549	0.172568
728	549	0.163336
728	549	0.187909
728	549	0.178763
728	549	0.168098
728	549	0.175173
728	549	0.157770
728	549	0.164640
728	549	0.169921
728	549	0.188841
728	549	0.170587
728	549	0.171603
728	549	0.171603
728	549	0.182210
728	549	0.148061
728	549	0.169856
728	549	0.153320
729	549	0.170519
729	549	0.186336
729	549	0.186357
728	548	0.154519
729	549	0.170484
729	549	0.167711
729	549	0.197055
729	549	0.189293
729	549	0.181782
729	549	0.165441
728	549	0.173613
728	549	0.180361
728	549	0.176577
728	549	0.160202
728	549	0.160224
728	549	0.175215
728	549	0.182391
728	549	0.177790
728	549	0.168019
728	549	0.191844
728	549	0.181991
730	549	0.174857
728	549	0.177174
728	549	0.200429
728	549	0.168917
728	549	0.211360
728	549	0.173969
728	549	0.172882
728	549	0.182915
728	549	0.173206
728	549	0.173181
728	549	0.180570
728	549	0.174908
728	549	0.147142
728	549	0.155201
728	549	0.173792
728	549	0.167927
728	549	0.166311
728	549	0.182258
728	549	0.165058
728	549	0.165005
728	549	0.180261
728	549	0.158032
728	549	0.170101
728	549	0.172525
728	549	0.172525
728	549	0.168068
728	549	0.166074
728	549	0.174541
728	549	0.153633
728	549	0.171648
728	549	0.171648
728	549	0.168969
728	549	0.160070
728	549	0.162217
728	549	0.180738
728	549	0.179923
729	547	0.171140
728	549	0.175212
728	549	0.175398
728	549	0.180042
728	549	0.155140
728	549	0.167267
728	549	0.179064
728	549	0.176751
728	549	0.181369
728	549	0.164367
728	549	0.176875
729	549	0.181051
729	549	0.175461
728	549	0.149068
728	549	0.179037
728	549	0.179037
728	549	0.162970
728	549	0.166538
728	549	0.168002
728	549	0.177877
728	549	0.186603
728	549	0.175274
728	549	0.195690
728	549	0.171850
728	549	0.180546
728	549	0.158470
728	549	0.172815
728	549	0.176764
728	549	0.175098
728	549	0.161353
728	549	0.170126
728	549	0.174949
728	549	0.159936
728	549	0.159323
729	546	0.164082
728	549	0.166814
728	549	0.164291
728	549	0.171531
728	549	0.162773
728	549	0.164616
728	549	0.164619
728	549	0.173405
728	549	0.186680
728	549	0.173436
728	549	0.163158
728	549	0.151536
728	549	0.172965
728	549	0.174790
728	549	0.182876
728	549	0.165580
728	549	0.187474
728	549	0.165923
728	549	0.166404
728	549	0.170637
728	549	0.159869
728	549	0.159869
728	549	0.162047
729	548	0.184214
728	549	0.173682
728	549	0.178179
728	549	0.183894
728	549	0.162929
728	549	0.186915
728	549	0.161134
728	549	0.161398
728	549	0.150505
728	549	0.169912
728	549	0.171971
727	546	0.176052
728	549	0.166732
728	549	0.162034
728	549	0.163226
728	549	0.181696
728	549	0.174349
728	549	0.192448
728	549	0.154971
728	549	0.178155
728	549	0.112748
728	549	0.170826
728	549	0.163718
728	549	0.184478
728	549	0.184478
728	549	0.181442
728	549	0.173682
728	549	0.165461
728	549	0.169835
728	549	0.173866
728	549	0.173866
728	549	0.182307
728	549	0.164401
728	549	0.159165
728	549	0.188984
728	549	0.171888
728	549	0.172158
728	549	0.179145
728	548	0.175659
728	549	0.168033
728	549	0.166858
728	549	0.176909
728	549	0.167174
728	549	0.175763
728	549	0.190441
728	549	0.161666
728	549	0.143490
728	548	0.163123
728	549	0.166888
728	549	nan
728	549	0.164971
728	549	0.176461
728	549	0.178546
728	549	0.161671
728	549	0.173433
728	549	0.173433
728	549	0.173941
728	546	0.180418
730	547	0.175194
